table;name;shortname;help;period;levelmonit;reported;name_field;calcfunc;edizm;fullname
monit_form;Исходные данные для расчета показателей качества образования ДОУ;Показатели оценки  качества образовательных программ, реализуемых в ДОО;;civil_year;rating_dou;0;;;;
monit_razdel;Показатели оценки качества условий реализации основной образовательной программы дошкольного образования;rating_dou_ku;;;;0;;;;
monit_razdel_field;Численность фактически заполненных штатных единиц педагогических и учебно-вспомогательных кадров ДОО;;;;;1;fku_1;;item;
monit_razdel_field;Кол-во ставок педагогических и учебно-вспомогательных работников;;;;;2;fku_2;;item;
monit_razdel_field;Соответствие квалификации педагогических и учебно-вспомогательных работников ДОО характеристикам, установленным в Едином квалификационном справочнике должностей руководителей, специалистов и служащих;;;;;3;fku_3;;proc;
monit_razdel_field;Численность воспитанников ДОО;;;;;4;fku_4;;man;
monit_razdel_field;Число ставок педагогических работников ДОО;;;;;5;fku_5;;item;
monit_razdel_field;Число ставок работников ДОО;;;;;6;fku_6;;item;
monit_razdel_field;Численность педагогических работников с педагогическим образованием ;;;;;7;fku_7;;man;
monit_razdel_field;Общая численность педагогических работников (физических лиц), работающих в ДОО ;;;;;8;fku_8;;man;
monit_razdel_field;Численность педагогических работников с первой и высшей квалификационными категориями;;;;;9;fku_9;;man;
monit_razdel_field;Численность педагогических работников со стажем работы от 0 до 3 лет;;;;;10;fku_10;;man;
monit_razdel_field;Численность педагогических работников, прошедших в отчетном году повышение квалификации или профессиональную переподготовку;;;;;11;fku_11;;man;
monit_razdel_field;Годовой фонд заработной платы списочного состава педагогов ДОО (включая внутреннее совместительство) ;;;;;12;fku_12;;rub;
monit_razdel_field;Среднемесячная зарплата педагогов по ДОО ;;;;;13;fku_13;;rub;
monit_razdel_field;Средняя заработная плата в общеобразовательных организациях региона;;;;;14;fku_14;;rub
monit_razdel_field;Организация инновационной деятельности в ДОО (кол-во инновационных площадок);;;;;15;fku_15;;item
monit_razdel_field;Количество методических мероприятий муниципального, регионального, федерального уровня (ГМО, семинаров, конференций и др.), организованных и проведенных в ДОО за отчетный период;;;;;16;fku_16;;item
monit_razdel_field;Численность педагогов с обобщенным на муниципальном, региональном уровне опытом работы;;;;;17;fku_17;;man
monit_razdel_field;Использование ДОО сетевой формы реализации образовательной программы (кол-во организаций);;;;;18;fku_18;;item
monit_razdel_field;Кол-во действующих коллегиальных органов государственно-общественного  управления ДОО   ;;;;;19;fku_19;;item
monit_razdel_field;Информационная открытость ДОО наличие и соответствие требованиям действующего законодательства официального сайта организации;;;;;20;fku_20;;item
monit_razdel_field;Уровень удовлетворенности родителей воспитанников качеством услуги;;;;;21;fku_21;;proc
monit_razdel_field;Соответствие развивающей предметно-пространственной среды ДОО образовательным программам дошкольного образования, реализуемым в  ДОО, требованиям ФГТ ;;;;;22;fku_22;;item
monit_razdel_field;Оснащенность ДОО учебно-методическим материалом в соответствии с реализуемыми ООПДО;;;;;23;fku_23;;proc
monit_razdel_field;Создание в ДОО условий для получения детьми с ОВЗ дошкольного образования по адаптированным программам дошкольного образования;;;;;24;fku_24;;item
monit_razdel_field;Наличие в ДОО отдельного оснащенного в соответствии с требованиями физкультурного зала;;;;;25;fku_25;;proc
monit_razdel_field;Наличие в ДОО функционирующего и оснащенного в соответствии с требованиями плавательного бассейна;;;;;26;fku_26;;proc
monit_razdel_field;Наличие в ДОО современной оборудованной в соответствии с требованиями спортивной площадки (стадиона) с искусственным покрытием;;;;;27;fku_27;;item
monit_razdel_field;Оснащенность помещений ДОО для работы медицинского персонала;;;;;28;fku_28;;proc
monit_razdel_field;Наличие благоустройства территории ДОО, соответствие требованиям безопасности;;;;;29;fku_29;;item
monit_razdel_field;Количество единиц компьютерной техники в ДОО;;;;;30;fku_30;;item
monit_razdel_field;Кол-во множественных и (или) серьезных замечаний, предписаний, обоснованных жалоб;;;;;31;fku_31;;item
monit_razdel_field;Кол-во незначительных и устранённых замечаний, предписаний, обоснованных жалоб;;;;;32;fku_32;;item
monit_razdel_field;Кол-во множественных и (или) серьезных замечаний, предписаний Роспотребнадзора;;;;;33;fku_33;;item
monit_razdel_field;Кол-во множественных и (или) серьезных замечаний, предписаний Госпожнадзора;;;;;34;fku_34;;item
monit_razdel_field;Кол-во незначительных и устранённых замечаний, предписаний Роспотребнадзора;;;;;35;fku_35;;item
monit_razdel_field;Кол-во незначительных и устранённых замечаний, предписаний Госпожнадзора;;;;;36;fku_36;;item
